,mun,year,concepto,prop_ingr,hist,t,monto
284,Cadereyta,2015,Deuda,69.28272657,b,eg,8035953.0696
285,Cadereyta,2015,Otros,2213.128687,b,eg,256695992.6076
286,Cadereyta,2018,Gasto corriente,2774.0799079999997,b,eg,297787142.4264
287,Cadereyta,2018,Inversión,732.71522,b,eg,78654248.91720001
288,Cadereyta,2018,Deuda,1.438182476,b,eg,154383.53040000002
289,Cadereyta,2018,Otros,373.456434,b,eg,40089156.762600005
290,Ciénaga de Flores,1990,Gasto corriente,188.89281450000001,b,eg,14213235.5996
291,Ciénaga de Flores,1990,Inversión,45.02146691,b,eg,3387639.2688
292,Ciénaga de Flores,1990,Deuda,0.083184258,b,eg,6259.1976
293,Ciénaga de Flores,1990,Otros,24.49612403,b,eg,1843210.304
294,Ciénaga de Flores,2000,Gasto corriente,1032.455641,b,eg,25888362.654
295,Ciénaga de Flores,2000,Inversión,833.8958408,b,eg,20909564.622
296,Ciénaga de Flores,2000,Deuda,0.0,b,eg,0.0
297,Ciénaga de Flores,2000,Otros,115.57515169999999,b,eg,2897995.152
298,Ciénaga de Flores,2010,Gasto corriente,2792.983079,b,eg,98832814.28840001
299,Ciénaga de Flores,2010,Inversión,795.9263231000001,b,eg,28164738.6492
300,Ciénaga de Flores,2010,Deuda,34.29593085,b,eg,1213599.6776
301,Ciénaga de Flores,2010,Otros,59.75609557,b,eg,2114535.9384000003
302,Ciénaga de Flores,2015,Gasto corriente,2289.575372,b,eg,118738023.2892
303,Ciénaga de Flores,2015,Inversión,893.6947442,b,eg,46347261.0111
304,Ciénaga de Flores,2015,Deuda,43.95313122,b,eg,2279421.7578
305,Ciénaga de Flores,2015,Otros,316.0275547,b,eg,16389277.9497
306,El Carmen,1990,Gasto corriente,161.31349369999998,b,eg,8877336.9488
307,El Carmen,1990,Inversión,37.06828373,b,eg,2039926.3404
308,El Carmen,1990,Deuda,0.8681206690000001,b,eg,47774.0548
309,El Carmen,1990,Otros,35.763351,b,eg,1968113.8260000001
310,El Carmen,2000,Gasto corriente,1259.389073,b,eg,18726198.678
311,El Carmen,2000,Inversión,794.0621613,b,eg,11807126.262
312,El Carmen,2000,Deuda,0.0,b,eg,0.0
313,El Carmen,2000,Otros,97.09211318,b,eg,1443689.04
314,El Carmen,2010,Gasto corriente,1888.1286969999999,b,eg,43837699.027600005
315,El Carmen,2010,Inversión,756.0757518999999,b,eg,17554217.1988
316,El Carmen,2010,Deuda,1.880437484,b,eg,43659.128000000004
317,El Carmen,2010,Otros,124.53952269999999,b,eg,2891501.052
318,El Carmen,2015,Gasto corriente,1209.642223,b,eg,56257211.4255
319,El Carmen,2015,Inversión,343.201274,b,eg,15961369.6188
320,El Carmen,2015,Deuda,0.721897353,b,eg,33573.5073
321,El Carmen,2015,Otros,202.5256879,b,eg,9418925.8809
322,García,1990,Gasto corriente,187.7438469,b,eg,27722861.112
323,García,1990,Inversión,107.7862352,b,eg,15916062.6456
324,García,1990,Deuda,18.95176238,b,eg,2798478.2732
325,García,1990,Otros,17.47037375,b,eg,2579731.656
326,García,2000,Gasto corriente,756.1998342999999,b,eg,49034879.892
327,García,2000,Inversión,420.97477050000003,b,eg,27297608.874
328,García,2000,Deuda,30.62652723,b,eg,1985940.774
329,García,2000,Otros,70.11327397,b,eg,4546411.956
330,García,2010,Gasto corriente,1282.8894810000002,b,eg,265922707.50480002
331,García,2010,Inversión,502.6733302,b,eg,104196234.28160001
332,García,2010,Deuda,74.06039619,b,eg,15351549.2652
333,García,2010,Otros,712.7257147999999,b,eg,147736772.7784
334,García,2015,Gasto corriente,1565.8779439999998,b,eg,470283124.7007
335,García,2015,Inversión,518.814351,b,eg,155816508.5946
336,García,2015,Deuda,136.15782030000003,b,eg,40892539.176
337,García,2015,Otros,272.359603,b,eg,81798281.6895
338,General Escobedo,1990,Gasto corriente,36.94954507,b,eg,40679029.9764
339,General Escobedo,1990,Inversión,17.73156592,b,eg,19521293.16
340,General Escobedo,1990,Deuda,9.867148257,b,eg,10863084.2132
341,General Escobedo,1990,Otros,3.532537928,b,eg,3889092.9776
342,General Escobedo,2000,Gasto corriente,521.1053684,b,eg,272265447.648
343,General Escobedo,2000,Inversión,301.252916,b,eg,157397649.276
344,General Escobedo,2000,Deuda,34.50066179,b,eg,18025794.198
345,General Escobedo,2000,Otros,75.6168802,b,eg,39508063.02
346,General Escobedo,2010,Gasto corriente,1033.697623,b,eg,533834017.5928
347,General Escobedo,2010,Inversión,950.1662471000001,b,eg,490695783.6768
348,General Escobedo,2010,Deuda,214.9150242,b,eg,110988889.06920001
349,General Escobedo,2010,Otros,627.454376,b,eg,324037206.8636
350,General Escobedo,2015,Gasto corriente,1825.644366,b,eg,942346844.8191
351,General Escobedo,2015,Inversión,574.7903695,b,eg,296690801.9616
352,General Escobedo,2015,Deuda,108.90738049999999,b,eg,56214960.7455
353,General Escobedo,2015,Otros,262.67442400000004,b,eg,135585231.8346
